tour,year,season,event_completed,event_name,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Moore, Taylor",21944,T35,3,TPC Sawgrass,11,72,10,11:36 AM,65,1.417,-0.079,1.682,1.554,3.156,4.573,296.3,0.643,0.778,0.5,60.418,27.35,7,3
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Fleetwood, Tommy",12294,T27,3,TPC Sawgrass,11,72,1,11:14 AM,65,2.343,-0.549,2.111,0.669,2.23,4.573,282.7,0.643,0.778,0.857,17.307,30.787,7,2
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Scheffler, Scottie",18417,1,3,TPC Sawgrass,11,72,1,12:42 PM,65,0.275,2.211,1.915,0.173,4.298,4.573,289.5,0.714,0.722,0.778,43.286,35.614,5,2
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Hatton, Tyrrell",14796,2,4,TPC Sawgrass,11,72,1,11:30 AM,65,2.677,-0.486,4.935,0.021,4.47,7.147,291.2,0.5,0.833,0.8,19.118,47.994,9,1
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Morikawa, Collin",22085,T13,1,TPC Sawgrass,11,72,10,7:45 AM,65,0.893,0.78,4.293,1.792,6.864,7.757,290.3,0.643,0.833,0.667,27.985,21.466,4,1
pga,2023,2023,4/9/23,Masters Tournament,"Koepka, Brooks",16243,T2,1,Augusta National Golf Club,14,72,1,11:54 AM,65,2.5,-0.418,5.136,0.162,4.88,7.337,304.2,0.857,0.833,1,44.382,16.219,6,1
pga,2023,2023,4/9/23,Masters Tournament,"Hovland, Viktor",18841,T7,1,Augusta National Golf Club,14,72,1,10:18 AM,65,4.199,0.951,1.729,0.5,3.18,7.337,306.6,0.786,0.722,0.857,26.429,30.853,6,2
pga,2023,2023,4/9/23,Masters Tournament,"Mickelson, Phil",1547,T2,4,Augusta National Golf Club,14,72,1,12:49 PM,65,0.519,1.676,4.507,1.298,7.481,8,293.4,0.857,0.889,0.667,43.324,32.783,9,3
pga,2023,2023,4/9/23,Masters Tournament,"Rahm, Jon",19195,1,1,Augusta National Golf Club,14,72,1,10:42 AM,65,-0.603,2.591,2.806,2.586,7.983,7.337,312.4,1,0.944,1,,31.963,6,2
pga,2022,2022,6/19/22,U.S. Open,"Manuel, Caleb",28529,CUT,1,The Country Club,654,70,1,8:57 AM,83,-3.27,-1.72,-2.44,-2.8,-6.96,-10.231,296.5,0.357,,,,,,
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Burns, Sam",19483,T45,3,TPC Sawgrass,11,72,1,8:40 AM,65,2.501,0.728,3.05,-0.992,2.786,5.288,292.4,0.5,0.778,0.714,39.466,23.122,8,2
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Harman, Brian",8825,T2,2,TPC Sawgrass,11,72,10,8:46 AM,65,2.113,0.332,3.424,1.342,5.098,7.211,295.3,0.786,0.889,0.333,48.357,30.486,6,2
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Schauffele, Xander",19895,T2,1,TPC Sawgrass,11,72,10,8:24 AM,65,1.83,-0.094,3.553,1.242,4.701,6.531,290.5,0.643,0.778,0.714,67.049,24.768,5,1
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Schauffele, Xander",19895,T2,3,TPC Sawgrass,11,72,1,2:40 PM,65,3.355,1.752,0.131,0.049,1.932,5.288,282.5,0.571,0.667,1,72.792,31.246,5,1
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Clark, Wyndham",23604,T2,1,TPC Sawgrass,11,72,1,1:51 PM,65,3.006,0.206,2.752,0.567,3.525,6.531,290.2,0.571,0.889,0.667,17.448,22.9,6,2
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Clark, Wyndham",23604,T2,2,TPC Sawgrass,11,72,10,8:46 AM,65,4.807,-0.086,1.397,1.093,2.404,7.211,294,0.571,0.833,0.8,82.395,26.678,6,0
pga,2024,2024,3/17/24,THE PLAYERS Championship,"McIlroy, Rory",10091,T19,1,TPC Sawgrass,11,72,10,8:35 AM,65,3.561,0.35,3.46,-0.84,2.97,6.531,293,0.571,0.833,0.667,47.813,24.051,4,2
pga,2024,2024,4/14/24,Masters Tournament,"DeChambeau, Bryson",19841,T6,1,Augusta National Golf Club,14,72,1,11:18 AM,65,3.7,0.648,2.039,2.041,4.727,8.427,323,0.714,0.833,0.857,41.24,36.524,7,1
pga,2024,2024,5/19/24,PGA Championship,"Smith, Jordan",18586,T39,4,Valhalla Golf Club,671,71,1,8:05 AM,64,1.463,0.129,2.356,1.308,3.793,5.256,292.8,0.929,0.778,0.667,,29.349,5,2
pga,2024,2024,5/19/24,PGA Championship,"Horschel, Billy",11276,T8,4,Valhalla Golf Club,671,71,1,11:45 AM,64,5.921,0.409,-0.109,-0.964,-0.665,5.256,291.3,0.5,0.611,0.833,90.483,26.833,10,3
pga,2024,2024,5/19/24,PGA Championship,"DeChambeau, Bryson",19841,2,4,Valhalla Golf Club,671,71,1,2:15 PM,64,0.916,1.553,1.109,1.679,4.341,5.256,312.6,0.714,0.667,0.778,31.833,23.774,6,2
pga,2024,2024,5/19/24,PGA Championship,"Rose, Justin",6093,T6,3,Valhalla Golf Club,671,71,1,12:01 PM,64,4.039,0.191,1.683,-0.361,1.513,5.551,287,0.714,0.611,1,39.167,31.381,5,2
pga,2017,2017,5/14/17,THE PLAYERS Championship,"Perez, Pat",6762,T22,3,TPC Sawgrass,11,72,1,8:30 AM,66,2.396,0.072,5.43,0.136,5.64,8.037,272.6,0.643,0.833,0.571,53.808,27.566,5,1
pga,2017,2017,5/14/17,THE PLAYERS Championship,"Stanley, Kyle",12069,T4,2,TPC Sawgrass,11,72,10,12:57 PM,66,2.203,0.95,4.743,-0.715,4.979,7.182,279.6,0.429,0.778,0.833,36.63,24.34,5,2
pga,2017,2017,5/14/17,THE PLAYERS Championship,"Oosthuizen, Louis",7672,T2,2,TPC Sawgrass,11,72,10,12:46 PM,66,2.572,0.633,4.603,-0.627,4.61,7.182,279.1,0.571,0.889,0.75,37.974,23.426,9,2
pga,2023,2023,6/18/23,U.S. Open,"Lebioda, Hank",21943,CUT,2,The Los Angeles Country Club (North Course),43,70,1,12:15 PM,83,-4.626,-0.258,-4.578,-1.319,-6.156,-10.782,287,0.538,0.278,0.2,76.375,51.833,2,11
pga,2017,2017,6/18/17,U.S. Open,"Li, Haotong",15310,68,4,Erin Hills,236,72,1,8:51 AM,84,,,,,,-10.074,,,,,,,,
pga,2020,2021,9/20/20,U.S. Open,"Munoz, Sebastian",20770,T59,4,Winged Foot GC,891,70,1,8:44 AM,82,-2.678,-0.831,-2.456,-1.134,-4.42,-7.098,277.8,0.357,0.333,0.308,91.7,48.553,3,8
pga,2017,2017,7/23/17,The Open Championship,"Baddeley, Aaron",6252,T27,4,Royal Birkdale GC,541,70,1,8:05 AM,64,,,,,,6.13,,,,,,,,
pga,2017,2017,7/23/17,The Open Championship,"Johnson, Dustin",12422,T54,3,Royal Birkdale GC,541,70,1,12:50 PM,64,,,,,,5.026,,,,,,,,
pga,2020,2020,8/9/20,PGA Championship,"An, Byeong Hun",14459,T22,4,TPC Harding Park,895,70,1,8:40 AM,64,2.166,-0.189,3.824,-0.547,3.087,5.253,286.8,0.5,0.611,0.75,42.804,24.852,4,4
pga,2020,2020,8/9/20,PGA Championship,"Fleetwood, Tommy",12294,T29,2,TPC Harding Park,895,70,10,8:11 AM,64,2.401,1.341,0.274,3.313,4.928,7.329,302.9,0.857,0.667,0.889,63.652,35.344,6,0
pga,2020,2020,8/9/20,PGA Championship,"Champ, Cameron",23542,T10,2,TPC Harding Park,895,70,1,8:28 AM,64,1.389,0.247,2.92,2.773,5.94,7.329,317,0.643,0.833,0.5,25.974,26.165,10,2
pga,2020,2020,8/9/20,PGA Championship,"Morikawa, Collin",22085,1,4,TPC Harding Park,895,70,1,1:40 PM,64,2.437,0.945,-0.511,2.383,2.816,5.253,293.3,0.857,0.667,1,82.273,28.873,5,1
pga,2020,2020,8/9/20,PGA Championship,"Palmer, Ryan",7820,T43,4,TPC Harding Park,895,70,1,7:10 AM,64,1.997,1.089,1.17,0.998,3.256,5.253,291.2,0.429,0.611,1,112.061,28.258,7,2
pga,2020,2021,11/15/20,Masters Tournament,"Cantlay, Patrick",15466,T17,2,Augusta National Golf Club,14,72,10,10:25 AM,66,,,,,,5.811,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Fleetwood, Tommy",12294,T19,2,Augusta National Golf Club,14,72,1,9:52 AM,66,,,,,,5.811,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"McIlroy, Rory",10091,T5,2,Augusta National Golf Club,14,72,10,10:25 AM,66,,,,,,5.811,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Thomas, Justin",14139,4,1,Augusta National Golf Club,14,72,1,2:59 PM,66,,,,,,5.413,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Im, Sungjae",17488,T2,1,Augusta National Golf Club,14,72,1,3:32 PM,66,,,,,,5.413,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Pan, C.T.",15475,T7,2,Augusta National Golf Club,14,72,10,1:35 PM,66,,,,,,5.811,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Rahm, Jon",19195,T7,2,Augusta National Golf Club,14,72,1,2:08 PM,66,,,,,,5.811,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Willett, Danny",12920,T25,2,Augusta National Golf Club,14,72,10,9:41 AM,66,,,,,,5.811,,,,,,,,
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Morikawa, Collin",22085,T41,4,TPC Sawgrass,11,72,1,7:55 AM,66,3.344,-0.198,1.346,1.086,2.233,5.577,292.2,0.571,0.611,0.727,53.03,31.061,6,0
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Westwood, Lee",4052,2,2,TPC Sawgrass,11,72,10,12:16 PM,66,4.397,0.859,0.581,0.202,1.642,6.039,277.5,0.5,0.778,1,52.148,30.735,3,1
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Im, Sungjae",17488,T17,2,TPC Sawgrass,11,72,10,12:38 PM,66,3.031,0.573,0.744,1.691,3.008,6.039,287,0.786,0.667,0.778,42.669,30.081,3,1
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Conners, Corey",17576,7,4,TPC Sawgrass,11,72,1,11:45 AM,66,1.561,-0.069,3.266,0.82,4.016,5.577,293,0.643,0.667,0.667,45.689,18.309,6,2
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Howell III, Charles",6892,T9,4,TPC Sawgrass,11,72,1,10:30 AM,66,0.861,1.683,1.338,1.696,4.716,5.577,297.1,0.786,0.833,0.857,82.072,32.773,6,0
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Im, Sungjae",17488,T17,4,TPC Sawgrass,11,72,1,9:15 AM,66,2.96,-1.011,2.155,1.474,2.617,5.577,293,0.786,0.778,0.429,15.011,27.206,8,3
pga,2021,2021,4/11/21,Masters Tournament,"Wiesberger, Bernd",9531,T40,2,Augusta National Golf Club,14,72,1,8:24 AM,66,3.471,-0.132,1.883,1.107,2.859,6.33,299.4,0.857,0.778,0.857,,32.791,6,1
pga,2021,2021,4/11/21,Masters Tournament,"Finau, Tony",11676,T10,2,Augusta National Golf Club,14,72,1,10:42 AM,66,0.39,2.573,1.873,1.493,5.94,6.33,309,0.714,0.556,0.636,56.984,25.886,6,2
pga,2021,2021,4/11/21,Masters Tournament,"Rahm, Jon",19195,T5,4,Augusta National Golf Club,14,72,1,12:30 PM,66,1.638,0.568,3.155,1.269,4.992,6.63,314.8,0.643,0.833,1,75.743,20.929,6,2
pga,2021,2021,7/18/21,The Open Championship,"Grillo, Emiliano",12808,T12,2,Royal St. George's GC,778,70,1,8:47 AM,64,,,,,,6.387,,,,,,,,
pga,2021,2021,7/18/21,The Open Championship,"Oosthuizen, Louis",7672,T3,1,Royal St. George's GC,778,70,1,9:58 AM,64,,,,,,6.955,,,,,,,,
pga,2021,2021,7/18/21,The Open Championship,"Morikawa, Collin",22085,1,2,Royal St. George's GC,778,70,1,8:25 AM,64,,,,,,6.387,,,,,,,,
pga,2021,2021,7/18/21,The Open Championship,"Rahm, Jon",19195,T3,2,Royal St. George's GC,778,70,1,2:59 PM,64,,,,,,6.387,,,,,,,,
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Smith, Cameron",15856,1,4,TPC Sawgrass,11,72,1,12:50 PM,66,4.143,-0.039,2.822,-1.369,1.414,5.571,277.8,0.5,0.722,0.714,90.837,28.85,7,4
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Homa, Max",17538,T13,4,TPC Sawgrass,11,72,10,11:44 AM,66,3.192,-0.348,2,0.713,2.365,5.571,288.9,0.571,0.722,0.7,38.7,40.597,5,2
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Streelman, Kevin",8480,T22,3,TPC Sawgrass,11,72,10,4:21 PM,66,3.425,0.4,0.235,1.397,2.032,5.457,269.4,0.929,0.778,0.875,133.007,36.42,4,1
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Fleetwood, Tommy",12294,T22,1,TPC Sawgrass,11,72,10,7:56 AM,66,3.08,1.816,-1.244,2.249,2.822,5.902,290,0.643,0.722,0.75,53.995,29.961,3,1
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Hoge, Tom",15575,T33,1,TPC Sawgrass,11,72,10,9:13 AM,66,-0.022,2.173,1.779,1.971,5.924,5.902,282.5,0.714,0.778,1,16.677,25.831,5,0
pga,2022,2022,3/13/22,THE PLAYERS Championship,"McIlroy, Rory",10091,T33,4,TPC Sawgrass,11,72,10,12:50 PM,66,0.402,1.092,2.678,1.385,5.155,5.571,287.1,0.643,0.778,0.667,57.061,30.192,5,1
pga,2022,2022,5/22/22,PGA Championship,"Pereira, Mito",19455,T3,2,Southern Hills Country Club,611,70,10,12:58 PM,64,3.874,0.571,2.43,1.727,4.729,8.603,315.4,0.786,0.778,0.8,45.977,19.989,6,2
pga,2022,2022,7/17/22,The Open Championship,"Finau, Tony",11676,T28,4,St. Andrews Links (Old Course),668,72,1,9:50 AM,66,2.958,-1.046,1.695,0.068,0.717,3.675,313,0.625,0.833,0.667,65.663,26.894,6,0
pga,2022,2022,7/17/22,The Open Championship,"Mullinax, Trey",18761,T21,3,St. Andrews Links (Old Course),668,72,1,8:45 AM,66,1.806,1.844,1.49,0.197,3.531,5.337,313.7,0.562,0.833,0.833,47.838,22.66,5,3
pga,2022,2022,7/17/22,The Open Championship,"Fitzpatrick, Matt",17646,T21,2,St. Andrews Links (Old Course),668,72,1,9:58 AM,66,2.513,0.09,1.137,1.985,3.212,5.724,317.1,0.688,0.944,0.25,48.544,24.73,7,2
pga,2022,2022,7/17/22,The Open Championship,"Harman, Brian",8825,T6,4,St. Andrews Links (Old Course),668,72,1,1:35 PM,66,2.481,-0.359,1.477,0.076,1.194,3.675,298.3,0.688,0.889,0.5,32.412,26.868,5,3
pga,2022,2022,7/17/22,The Open Championship,"Hovland, Viktor",18841,T4,3,St. Andrews Links (Old Course),668,72,1,3:45 PM,66,2.943,1.576,-0.645,1.463,2.394,5.337,316.1,0.562,0.833,0.571,61.133,46.487,7,2
